Reference,Pin,Pin name,Net,Type,Circuit sheet
U1,15,SPI_SCK,FPGA_SCK,input,3
U1,16,SPI_SS,FPGA_CS_N,input,3
U1,17,SPI_SI,FPGA_MOSI,input,3
U1,18,IOB_31B,INTENTIONAL_NC,no_connect,4
U1,19,IOB_29B,INTENTIONAL_NC,no_connect,4
U1,20,IOB_25B_G3,INTENTIONAL_NC,no_connect,4
U1,21,IOB_23B,INTENTIONAL_NC,no_connect,4
U1,22,SPI_VCCIO1,+3V3,power_in,4
U1,23,IOT_37A,INTENTIONAL_NC,no_connect,4
U1,24,VPP_2V5,+2V5,power_in,4
U1,25,IOT_36B,INTENTIONAL_NC,no_connect,4
U1,26,IOT_39A,INTENTIONAL_NC,no_connect,4
U1,27,IOT_38B,INTENTIONAL_NC,no_connect,4
U1,28,IOT_41A,INTENTIONAL_NC,no_connect,4
U1,29,VCCPLL,+1V2_PLL,power_in,4
U1,30,VCC,+1V2,power_in,4
U1,31,IOT_42B,INTENTIONAL_NC,no_connect,4
U1,32,IOT_43A,INTENTIONAL_NC,no_connect,4
U1,33,VCCIO_0,+3V3,power_in,4
U1,34,IOT_44B,INTENTIONAL_NC,no_connect,4
U1,35,IOT_46B_G0,CLK16,input,3
U1,36,IOT_48B,INTENTIONAL_NC,no_connect,4
U1,37,IOT_45A_G1,INTENTIONAL_NC,no_connect,4
U1,38,IOT_50B,INTENTIONAL_NC,no_connect,4
U1,39,RGB0,INTENTIONAL_NC,no_connect,4
U1,40,RGB1,INTENTIONAL_NC,no_connect,4
U1,41,RGB2,INTENTIONAL_NC,no_connect,4
U1,42,IOT_51A,INTENTIONAL_NC,no_connect,4
U1,43,IOT_49A,INTENTIONAL_NC,no_connect,4
U1,44,IOB_3B_G6,INTENTIONAL_NC,no_connect,4
U1,45,IOB_5B,INTENTIONAL_NC,no_connect,4
U1,46,IOB_0A,INTENTIONAL_NC,no_connect,4
U1,47,IOB_2A,INTENTIONAL_NC,no_connect,4
U1,48,IOB_4A,INTENTIONAL_NC,no_connect,4
U1,49,GND / PAD,GND,power_in,4
U2,1,IN,+5V,power_in,2
U2,2,GND,GND,power_in,2
U2,3,EN,+5V,input,2
U2,4,NC,INTENTIONAL_NC,no_connect,2
U2,5,OUT,+1V2,power_out,2
U3,1,IN,+5V,power_in,2
U3,2,GND,GND,power_in,2
U3,3,EN,IO_ENABLE,input,2
U3,4,NC,INTENTIONAL_NC,no_connect,2
U3,5,OUT,+3V3,power_out,2
U4,1,IN,+5V,power_in,2
U4,2,GND,GND,power_in,2
U4,3,EN,VPP_ENABLE,input,2
U4,4,NC,INTENTIONAL_NC,no_connect,2
U4,5,OUT,+2V5,power_out,2
U5,1,RESET_N,IO_ENABLE,open_drain,2
U5,2,GND,GND,power_in,2
U5,3,MR_N,+5V,input,2
U5,4,CT,CT_CORE,passive,2
U5,5,SENSE,+1V2,input,2
U5,6,VDD,+5V,power_in,2
U6,1,RESET_N,VPP_ENABLE,open_drain,2
U6,2,GND,GND,power_in,2
U6,3,MR_N,+5V,input,2
U6,4,CT,CT_IO,passive,2
U6,5,SENSE,+3V3,input,2
U6,6,VDD,+5V,power_in,2
U7,1,RESET_N,CRESET_N,open_drain,2
U7,2,GND,GND,power_in,2
U7,3,MR_N,+5V,input,2
U7,4,CT,CT_VPP,passive,2
U7,5,SENSE,+2V5,input,2
U7,6,VDD,+5V,power_in,2
Y1,1,OE,+3V3,input,3
Y1,2,GND,GND,power_in,3
Y1,3,OUT,OSC_OUT,output,3
Y1,4,VDD,+3V3,power_in,3
U8,1,1A,HOST_SCK,input,3
U8,2,GND,GND,power_in,3
U8,3,2A,HOST_MOSI,input,3
U8,4,2Y,BUF_MOSI,output,3
U8,5,VCC,+3V3,power_in,3
U8,6,1Y,BUF_SCK,output,3
U9,1,1A,HOST_CS_N,input,3
U9,2,GND,GND,power_in,3
U9,3,2A,HOST_RESET,input,3
U9,4,2Y,BUF_RESET,output,3
U9,5,VCC,+3V3,power_in,3
U9,6,1Y,BUF_CS_N,output,3
F1,1,1,+5V_RAW,passive,1
F1,2,2,+5V,passive,1
R1,1,1,BUF_SCK,passive,3
R1,2,2,FPGA_SCK,passive,3
R2,1,1,BUF_MOSI,passive,3
R2,2,2,FPGA_MOSI,passive,3
R3,1,1,FPGA_MISO,passive,3
R3,2,2,HOST_MISO,passive,3
R4,1,1,BUF_CS_N,passive,3
R4,2,2,FPGA_CS_N,passive,3
R5,1,1,OSC_OUT,passive,3
R5,2,2,CLK16,passive,3
R6,1,1,BUF_RESET,passive,3
R6,2,2,SOFT_RESET,passive,3
R7,1,1,+3V3,passive,3
R7,2,2,CRESET_N,passive,3
R8,1,1,+3V3,passive,3
R8,2,2,CDONE,passive,3
R9,1,1,+3V3,passive,3
R9,2,2,FPGA_CS_N,passive,3
R10,1,1,+5V,passive,3
R10,2,2,IO_ENABLE,passive,3
R11,1,1,+5V,passive,3
R11,2,2,VPP_ENABLE,passive,3
R12,1,1,HOST_SCK,passive,3
R12,2,2,GND,passive,3
R13,1,1,HOST_MOSI,passive,3
R13,2,2,GND,passive,3
R14,1,1,HOST_RESET,passive,3
R14,2,2,GND,passive,3
R15,1,1,READY,passive,3
R15,2,2,GND,passive,3
R16,1,1,FRAME_READY,passive,3
R16,2,2,GND,passive,3
R17,1,1,+1V2,passive,4
R17,2,2,+1V2_PLL,passive,4
R18,1,1,+3V3,passive,3
R18,2,2,HOST_CS_N,passive,3
SW1,1,1,CRESET_N,passive,3
SW1,2,2,GND,passive,3
C1,1,1,+5V,passive,1
C1,2,2,GND,passive,1
C2,1,1,+5V,passive,2
C2,2,2,GND,passive,2
C3,1,1,+1V2,passive,2
C3,2,2,GND,passive,2
C4,1,1,+5V,passive,2
C4,2,2,GND,passive,2
C5,1,1,+3V3,passive,2
C5,2,2,GND,passive,2
C6,1,1,+5V,passive,2
C6,2,2,GND,passive,2
C7,1,1,+2V5,passive,2
C7,2,2,GND,passive,2
C8,1,1,+5V,passive,2
C8,2,2,GND,passive,2
C9,1,1,+5V,passive,2
C9,2,2,GND,passive,2
C10,1,1,+5V,passive,2
C10,2,2,GND,passive,2
C11,1,1,CT_CORE,passive,2
C11,2,2,GND,passive,2
C12,1,1,CT_IO,passive,2
C12,2,2,GND,passive,2
C13,1,1,CT_VPP,passive,2
C13,2,2,GND,passive,2
C14,1,1,+1V2,passive,4
C14,2,2,GND,passive,4
C15,1,1,+1V2,passive,4
C15,2,2,GND,passive,4
C16,1,1,+3V3,passive,4
C16,2,2,GND,passive,4
C17,1,1,+3V3,passive,4
C17,2,2,GND,passive,4
C18,1,1,+3V3,passive,4
C18,2,2,GND,passive,4
C19,1,1,+2V5,passive,4
C19,2,2,GND,passive,4
C20,1,1,+1V2_PLL,passive,4
C20,2,2,GND,passive,4
C21,1,1,+1V2_PLL,passive,4
C21,2,2,GND,passive,4
C22,1,1,+3V3,passive,3
C22,2,2,GND,passive,3
C23,1,1,+3V3,passive,3
C23,2,2,GND,passive,3
C24,1,1,+3V3,passive,3
C24,2,2,GND,passive,3
